root - INFO - Scrutinize_data is called.
root - INFO - Genre: Fantasy
root - INFO - Rooms count: 8
root - INFO - Room type: castle
root - INFO - Name count: 42
root - INFO - Adjectives count: 42
root - INFO - Scenery count: 41
root - INFO - Atmosphere count: 51
root - INFO - Room type: forest
root - INFO - Name count: 41
root - INFO - Adjectives count: 72
root - INFO - Scenery count: 49
root - INFO - Atmosphere count: 72
root - INFO - Room type: cavern
root - INFO - Name count: 34
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 50
root - INFO - Atmosphere count: 49
root - INFO - Room type: crypt
root - INFO - Name count: 50
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 52
root - INFO - Room type: library
root - INFO - Name count: 54
root - INFO - Adjectives count: 39
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 49
root - INFO - Room type: tavern
root - INFO - Name count: 40
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 50
root - INFO - Atmosphere count: 40
root - INFO - Room type: garden
root - INFO - Name count: 40
root - INFO - Adjectives count: 40
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 50
root - INFO - Room type: featureless space
root - INFO - Name count: 50
root - INFO - Adjectives count: 39
root - INFO - Scenery count: 40
root - INFO - Atmosphere count: 50
root - INFO - Genre: Sci-Fi
root - INFO - Rooms count: 8
root - INFO - Room type: castle
root - INFO - Name count: 42
root - INFO - Adjectives count: 42
root - INFO - Scenery count: 41
root - INFO - Atmosphere count: 51
root - INFO - Room type: forest
root - INFO - Name count: 41
root - INFO - Adjectives count: 72
root - INFO - Scenery count: 49
root - INFO - Atmosphere count: 72
root - INFO - Room type: cavern
root - INFO - Name count: 34
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 50
root - INFO - Atmosphere count: 49
root - INFO - Room type: crypt
root - INFO - Name count: 50
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 52
root - INFO - Room type: library
root - INFO - Name count: 54
root - INFO - Adjectives count: 39
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 49
root - INFO - Room type: tavern
root - INFO - Name count: 40
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 50
root - INFO - Atmosphere count: 40
root - INFO - Room type: garden
root - INFO - Name count: 40
root - INFO - Adjectives count: 40
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 50
root - INFO - Room type: featureless space
root - INFO - Name count: 50
root - INFO - Adjectives count: 39
root - INFO - Scenery count: 40
root - INFO - Atmosphere count: 50
root - INFO - Genre: Western
root - INFO - Rooms count: 8
root - INFO - Room type: castle
root - INFO - Name count: 42
root - INFO - Adjectives count: 42
root - INFO - Scenery count: 41
root - INFO - Atmosphere count: 51
root - INFO - Room type: forest
root - INFO - Name count: 41
root - INFO - Adjectives count: 72
root - INFO - Scenery count: 49
root - INFO - Atmosphere count: 72
root - INFO - Room type: cavern
root - INFO - Name count: 34
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 50
root - INFO - Atmosphere count: 49
root - INFO - Room type: crypt
root - INFO - Name count: 50
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 52
root - INFO - Room type: library
root - INFO - Name count: 54
root - INFO - Adjectives count: 39
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 49
root - INFO - Room type: tavern
root - INFO - Name count: 40
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 50
root - INFO - Atmosphere count: 40
root - INFO - Room type: garden
root - INFO - Name count: 40
root - INFO - Adjectives count: 40
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 50
root - INFO - Room type: featureless space
root - INFO - Name count: 50
root - INFO - Adjectives count: 39
